nummer;artiest;titel
1000;Slade;Merry Xmas everybody
999;Lady GaGa;Always remember us this way
998;Herbert Gr”nemeyer;Halt mich
997;De Dijk;Dansen op de vulkaan
996;Tino Martin;Zij weet het
995;De Dijk;Groot hart
994;Irene Wilkens & Sikkom Kult;As Julio gait zingen
993;Peter Schilling;Major Tom (v”llig losgel”st)
992;Zuver Scheerwol;Boeren on the move
991;Henk Wijngaard;Het zwarte asfalt
990;Andrea Bocelli & Giorgia;Vivo per lei
989;Jan Smit;Laura
988;Bl?f;Dansen aan zee
987;Les Poppys;Non non rien n'a chang‚
986;Frans Bauer;Op rode rozen vallen tranen
985;Jannie & Roelof Stalknecht;Laiverd kom weer bie mie
984;Fleetwood Mac;As long as you follow
983;Jan Henk de Groot;Evenwicht
982;Bert Hadders & De Nozems;Leste traain noar Knoal
981;Bruce Springsteen;Brilliant disguise
980;Erwin de Vries;Dit is Kerstmis
979;Michael Jackson;Thriller
978;Henk Wijngaard;Container song
977;Doe Maar;1 nacht alleen
976;Crosby, Stills, Nash & Young;Our house
975;Blues Brothers;Everybody needs somebody to love
974;Marlene Bakker;Genog veur mie
973;Herman van Veen;Hilversum III
972;Ilse DeLange;I'm not so tough
971;Mooi Wark;Bok 'm d'r op!
970;Bl?f;Liefs uit Londen
969;Lex Koopman;Genoadeloos
968;Boston;More than a feeling
967;Frans Bauer;Een dag uit duizend dromen
966;Alex Luttjeboer;Kerstfeest veur elk en ain
965;Doobie Brothers;Listen to the music
964;Andr‚ Hazes;Het laatste rondje
963;Irene Wilkens & Sikkom Kult;Langzoam neergoan
962;Queen;Crazy little thing called love
961;Gary Moore;Still got the blues
960;Boetenbaintjes;H‚ wel bennen joe?
959;Fleetwood Mac;Need your love so bad
958;De Pompers;Trots van het Noorden
957;The Rolling Stones;As tears go by
956;Mud;Tigerfeet
955;Erwin de Vries;Wie
954;Blue Diamonds;Ramona
953;David Bowie;Let's dance
952;De Erkende Verhuizers;De echo
951;Aphrodite's Child;Rain and tears
950;Peter Schaap;Vliegen als een vogel
949;Lady Gaga & Bruno Mars;Die with a smile
948;Fries Wolma & Hennie Dolsma;Wie zingen t zulfde laid
947;Toontje Lager;Stiekem gedanst
946;ABBA;Voulez-vous
945;Dieptriest;Ain Pronkjewail
944;Herman Brood & His Wild Romance;Rock & roll junkie
943;Corry & De Rekels;Huilen is voor jou te laat
942;Elvis Presley;Return to sender
941;Bruce Springsteen;Human touch
940;Wia Buze;As t snijt in Termunten
939;Acda en de Munnik;Morgen wordt fantastisch
938;Herbert Gr”nemeyer;Der Weg
937;Imca Marina;Viva Espana
936;Jan Henk de Groot;Wies mit die
935;Nirvana;Come as you are
934;Andr‚ Hazes;'n Vriend
933;Queen;Radio ga ga
932;Creedence Clearwater Revival;Long as I can see the light
931;Kevin Par‚;Zaterdag
930;Di-Rect;OMG it`s happening
929;Depeche Mode;Enjoy the silence
928;Alex Vissering;Ik loop
927;Lou Reed;Perfect day
926;ABBA;Does your mother know
925;Stef Ekkel;De woonboot
924;VanDelden;Lekker miezulf
923;Marco Borsato;Dromen zijn bedrog
922;Coldplay;Paradise
921;De Stroatklinkers;Blief nog even zitten
920;BZN;Rockin' the trolls
919;Charles Aznavour;Yesterday when I was young
918;Johnny Cash;Folsom prison blues
917;Dolly Parton;9 to 5
916;Eddy Koekkoek;Kerstmis in Groningen
915;Andr‚ Rieu;Strauss party
914;Nazareth;Love hurts
913;Elvis Presley;Jailhouse rock
912;Ren‚ Beverwijk;Loat mor goan
911;Queen;Who wants to live forever
910;Men At Work;Down under
909;Erwin de Vries;Nooit meer met ons baaid
908;Fleetwood Mac;Dreams
907;P‚ Daalemmer & Rooie Rinus;Afscheidslied (Loeks)
906;Doe Maar;Is dit alles
905;Phil Collins;Against all odds (take a look at me now)
904;Wia Buze;Dou mor gewoon
903;Creedence Clearwater Revival;Cotton fields
902;De Dijk;Niemand in de stad
901;ABBA;S.O.S.
900;Crosby, Stills, Nash & Young;Teach your children
899;Fischer Z;So long
898;Ede Staal;Hear my song
897;Acda en de Munnik;Niet of nooit geweest
896;Kate Bush;Running up that hill
895;Andr‚ Hazes;Voor mij geen slingers aan de wand
894;Joe Cocker;You are so beautiful
893;Dr. Hook & The Medicine Show;Sylvia's mother
892;Gerard de Vries;Giddy up go
891;Queen;You're my best friend
890;Johan Raspe;Ik goa mien aigen weg
889;The Police;Every breath you take
888;David Bowie;Space oddity
887;Peter Koelewijn;Kom van dat dak af
886;Stad;Tied verdrieven
885;Jan Henk de Groot;101 Dalmatiners
884;The Hollies;He ain't heavy he's my brother
883;Rob de Nijs;Zonder jou
882;Elvis Presley;It's now or never
881;Di-Rect;Through the looking glass
880;Harry Niehof;Kom gaauw
879;Suzan & Freek;Honderd keer
878;Kraftwerk;Autobahn
877;Marlene Bakker;Heufd as helm
876;Pink;What about us
875;Dani‰l Lohues;De wereld in de zunne
874;The Dubliners;Whiskey in the jar
873;Het Sneeuwbaltrio;Ik heur de blues
872;BZN;Banjo man
871;Henk Wijngaard;Meissie meissie
870;Chris de Roo;Als ik er morgen niet meer ben
869;De Stroatklinkers;Der bennen veul mooie wichter in Grunnen
868;U2;Beautiful day
867;Guus Meeuwis;Dat komt door jou
866;Carpenters;Top of the world
865;Moody Blues;Question
864;Lucas & Gea Hulshof;Dan gaan de lichten aan
863;The Rolling Stones;It's all over now
862;Henk Wijngaard;18 wielen
861;Mariah Carey;All I want for Christmas is you
860;Will Stevens;Schreven in n boom
859;Doe Maar;Smoorverliefd
858;Oasis;Wonderwall
857;Eric Clapton;Wonderful tonight
856;The Rolling Stones;Brown sugar
855;Johan & Henk;Geloof, hoop en liefde
854;Heart;Alone
853;UB40;Can't help falling in love with you
852;Simple Minds;Belfast child
851;Henk Wijngaard;Ik heb m'n wagen volgeladen
850;Foreigner;I want to know what love is
849;Het Goede Doel;Alles geprobeerd
848;10 CC;The Wall Street shuffle
847;Marlene Bakker;Nijjoar
846;The Cats;Why
845;Doe Maar;Belle HelŠne
844;Lucas & Gea;Als je nog steeds van me houdt
843;Teddy Swims;The door
842;Bert Hadders & De Swinders;As zai mor altied bie mie blift
841;The Rolling Stones;Gimme shelter
840;Leonard Cohen;Take this waltz
839;Harry Niehof;Van Middelsom noar Madrid
838;Bon Jovi;Always
837;Adele;Set fire to the rain
836;Jimi Hendrix;Hey Joe
835;Steernvanger;Het zel weer veurjoar worden
834;Enya;Orinoco flow
833;The Cranberries;Zombie
832;ABBA;Lay all your love on me
831;Wia Buze;De dag woarop dien moeke staarft
830;Van Morrison;Brown eyed girl
829;Burdy;Acropolis Adieu
828;Venice;The family tree
827;Wat Aans! & Michael Hoppentocht;Proat toch Grunnegs met mie
826;George Baker Selection;Little green bag
825;Kansas;Dust in the wind
824;Frans Bauer;Bij ieder afscheid valt een traan
823;U2;Pride
822;De Troebadoers;Niks aan de kop
821;Wings;Mull of Kintyre
820;De Dijk;Binnen zonder kloppen
819;Otis Redding;(Sittin' on) The dock of the bay
818;Eddy Koekkoek;Zalstoe altied bie mie blieven
817;Johnny Cash;I walk the line
816;Phil Collins;Another day in paradise
815;Freddy Fender;Before the next teardrop falls
814;Voorheen De Bende & Pazzipanten;Drij cowboys
813;Frank Sinatra;My way
812;Teddy Swims;Lose control
811;Ultravox;Vienna
810;Harry Niehof;Welkom wichtje
809;Bruce Springsteen;Badlands
808;Kraantje Pappie feat. Joshua Nolet;Liefde in de lucht
