positie;artiest;titel;;;;
1000;Dexy's Midnight Runners;Come on Eileen;;;;
999;Lucas & Gea Hulshof;Dan gaan de lichten aan;;;;
998;Kim Wilde;Cambodia;;;;
997;Dieptriest;Ain Pronkjewail;;;;
996;10 CC;I'm not in love;;;;
995;Dorus;Twee motten;;;;
994;Benny Neyman;Ik weet niet hoe;;;;
993;Les Poppys;Non non rien n'a chang;;;;
992;George Michael & Queen;Somebody to love;;;;
991;Dutch Boys;Geert mien Belgisch peerd;;;;
990;Boston;More than a feeling;;;;
989;Bert Hadders & De Nozems;Vanoavend blifst bie mie;;;;
988;BZN;My number one;;;;
987;Enya;Orinoco flow;;;;
986;Avicii;Hey brother;;;;
985;Boudewijn de Groot;Een meisje van zestien;;;;
984;Survivor;Eye of the tiger;;;;
983;Frans Halsema;Voor haar;;;;
982;Creedence Clearwater Revival;Long as I can see the light;;;;
981;Wat Aans! & Michael Hoppentocht;Proat toch Grunnegs met mie;;;;
980;Van Morrison;Have I told you lately;;;;
979;Tino Martin;Zij weet het;;;;
978;Wia Buze;Snoetjeknovveln;;;;
977;John Denver;Annie's song;;;;
976;Pink;What about us;;;;
975;De Troebadoers;Zulfkweekte tomoaten;;;;
974;Rod Stewart;Maggie May;;;;
973;Guus Meeuwis;Tranen gelachen;;;;
972;Mama's & Papa's;California dreamin';;;;
971;Jan Henk de Groot;Janneke;;;;
970;Lady GaGa;Always remember us this way;;;;
969;Ben Zuur & Henk Puister;Mien Damstertoren;;;;
968;Eagles;One of these nights;;;;
967;Kayak;Ruthless queen;;;;
966;The Beatles;Help;;;;
965;Marlene Bakker;Smilke;;;;
964;Percy Sledge;When a man loves a woman;;;;
963;Golden Earring;Weekend love;;;;
962;Frans Bauer;Bij ieder afscheid valt een traan;;;;
961;Bert Hadders;De band speult jippiejippiejee;;;;
960;Juliane Werding;Stimmen im Wind;;;;
959;De Dijk;Groot hart;;;;
958;Fleetwood Mac;Dreams;;;;
957;Trf;Loat mie heuren...;;;;
956;Elvis Presley;It's now or never;;;;
955;Coldplay;Paradise;;;;
954;Ger Warink;Veur die;;;;
953;Sting;Fragile;;;;
952;Boney M;Daddy cool;;;;
951;Dion Bouwes & Dennis Krottje;Wereld in mien kop;;;;
950;Vicky Leandros;Aprs toi;;;;
949;De Stroatklinkers;Der bennen veul mooie wichter in Grunnen;;;;
948;Billy Joel;Goodnight Saigon;;;;
947;Jazzpolitie;Liefdesliedjes;;;;
946;ABBA;Gimme! Gimme! Gimme!;;;;
945;De Troebadoers;Noa Zwolle wodt t rusteg;;;;
944;Kate Bush;Running up that hill;;;;
943;Alex Luttjeboer;Kerstfeest veur elk en ain;;;;
942;Plat;Zuurkool;;;;
941;R.E.M.;Losing my religion;;;;
940;Rob de Nijs;Zet een kaars voor je raam;;;;
939;De Erkende Verhuizers;De echo;;;;
938;Wham!;Wake me up (before you gogo);;;;
937;U2;Beautiful day;;;;
936;Arne Jansen & Les Cigales;Meisjes met rode haren;;;;
935;Venice;The family tree;;;;
934;Harm Tabak;Karma;;;;
933;Adele;Make you feel my love;;;;
932;The Beach Boys;God only knows;;;;
931;Golden Earring;Just a little bit of peace in my heart;;;;
930;Wia Buze;As t snijt in Termunten;;;;
929;Johnny Cash;A boy named Sue;;;;
928;Jrgen Marcus;Ein Festival der Liebe;;;;
927;Irene Wilkens & Sikkom Kult;Hol die vast;;;;
926;Harry Niehof;Grunnen beeft;;;;
925;The Rolling Stones;Ruby Tuesday;;;;
924;Will Stevens;Schreven in n boom;;;;
923;Dik Fabree;Kolle vouten;;;;
922;Queen;A kind of magic;;;;
921;Metejoor & Hannah Mae;Wat wil je van mij;;;;
920;Bert Hadders & De Nozems;Leste traain noar Knoal;;;;
919;Patrick Hernandez;Born to be alive;;;;
918;Andr Hazes;Eenzame Kerst;;;;
917;Alex Luttjeboer;Hupzeeln Hinderk;;;;
916;Amy Winehouse;Back to black;;;;
915;Talk Talk;Such a shame;;;;
914;Edwin Jongedijk;Oh Julia;;;;
913;Krezip;I would stay;;;;
912;Gert Sennema & Westkantstad;De zun komt op ien t Westerkwartier;;;;
911;Jimi Hendrix;Hey Joe;;;;
910;Eric Clapton;Wonderful tonight;;;;
909;Suzan & Freek;Honderd keer;;;;
908;Cliff Richard & The Shadows;Living doll;;;;
907;Lex Koopman;Genoadeloos;;;;
906;Dana Winner;Geef de kinderen de wereld;;;;
905;Spider Murphy Gang;Skandal im Sperrbezirk;;;;
904;Edwin Jongedijk & Irene Wilkens;Doe mist hier haildaal niks;;;;
903;Ultravox;Vienna;;;;
902;Bert Hadders;Alle Menschen werden Brder;;;;
901;U2;Pride;;;;
900;Jan Henk de Groot;Stap veur stap;;;;
899;Fleetwood Mac;Need your love so bad;;;;
898;The Beatles;Penny Lane;;;;
897;Erwin de Vries;Wie;;;;
896;ABBA;Does your mother know;;;;
895;Mart Hoogkamer;Ik ga zwemmen;;;;
894;Edwin Jongedijk;Haarfst in mien haart;;;;
893;De Dijk;Als het golft;;;;
892;Eagles;Take it easy;;;;
891;Het Sneeuwbaltrio;Ik heur de blues;;;;
890;Bonnie Tyler;Total eclipse of the heart;;;;
889;Solution;It's only just begun;;;;
888;Bl?f;Dansen aan zee;;;;
887;Bon Jovi;It's my life;;;;
886;Adele;Skyfall;;;;
885;Maaike Ouboter;Dat ik je mis;;;;
884;Zuver Scheerwol;Boeren on the move;;;;
883;Wings;Mull of Kintyre;;;;
882;Jannes;Ik kan met jou de hele wereld aan;;;;
881;Jan Henk de Groot;Janine;;;;
880;The Beach Boys;Good vibrations;;;;
879;Hans de Booy;Annabel;;;;
878;Swinder;Elke dag tot de naacht;;;;
877;Foreigner;I want to know what love is;;;;
876;Falco;Jeanny (part 1);;;;
875;Elvis Presley;Return to sender;;;;
874;Golden Earring;Going to the run;;;;
873;Edwin Jongedijk;k Wil ale baaident;;;;
872;Drukwerk;Schijn een lichtje op mij;;;;
871;Doe Maar;Sinds 1 dag of 2 (32 jaar);;;;
870;Cuby & The Blizzards;Another day, another road;;;;
869;Udo Jrgens;Griechischer Wein;;;;
868;CT Heida;Little woman;;;;
867;Bruce Springsteen;Badlands;;;;
866;Ben Cramer;De clown;;;;
865;USA for Africa;We are the world;;;;
864;Andrea Bocelli & Giorgia;Vivo per lei;;;;
863;Erwin & Deborah;Sterren in mijn nacht;;;;
862;George Michael;Careless whisper;;;;
861;Alex Vissering;t Zuudloardermeer;;;;
860;Creedence Clearwater Revival;Down on the corner;;;;
859;Het Goede Doel;Belgi (is er leven op Pluto...?);;;;
858;Bram Vermeulen;De steen;;;;
857;Wat Aans!;Kaalmer;;;;
856;V.O.F. de Kunst;Suzanne;;;;
855;UB40;Can't help falling in love with you;;;;
854;The Cranberries;Zombie;;;;
853;The Beatles;Blackbird;;;;
852;Ren Karst;Atje voor de sfeer;;;;
851;Queen;We are the champions;;;;
850;Roy Orbison;In dreams;;;;
849;Henk Wijngaard;Als 'n wals;;;;
848;Herbert Grnemeyer;Der Weg;;;;
847;Suzan & Freek;Onderweg naar later;;;;
846;Sijtse Scheeringa;Wat bin ik blied dat ik in Grunnen woon;;;;
845;Johnny Cash;A thing called love;;;;
844;Rob de Nijs;Jan Klaassen de trompetter;;;;
843;Ren Beverwijk;Buurvrouw;;;;
842;Reinhard Mey;Gute Nacht Freunde;;;;
841;Peter Koelewijn;Kom van dat dak af;;;;
840;Paul de Leeuw;Vlieg met me mee;;;;
839;Fleetwood Mac;Don't stop;;;;
838;Lou Reed;Perfect day;;;;
837;Johan Raspe;Siene Praai;;;;
836;Jan Henk de Groot;De wolf is trug;;;;
835;Gerard Schoonebeek;De lafaard van de stad;;;;
834;Coldplay feat. Avicii;A sky full of stars;;;;
833;Erwin de Vries;Woar doe van holdst;;;;
832;Henk Wijngaard;Beun de beunhaas;;;;
831;Elvis Presley;Are you lonesome tonight;;;;
830;Duncan Laurence;Arcade;;;;
829;Toto;Stop loving you;;;;
828;Drukwerk;Je loog tegen mij;;;;
827;De Stroatklinkers;Meneer van de belasten;;;;
826;De Dijk;Dansen op de vulkaan;;;;
825;Dire Straits;Ticket to heaven;;;;
824;Irene Wilkens & Suze;Ongeoorloofde gedachten;;;;
823;Clouseau;Daar gaat ze;;;;
822;Creedence Clearwater Revival;Suzie Q.;;;;
821;Ede Staal;Me and my truck Baby Jane;;;;
820;Racoon;Nickel for goodbye;;;;
819;Corry Konings;Mooi was die tijd;;;;
818;P Dalo & Rini Rosso;Italioanen;;;;
817;Nits;In the Dutch mountains;;;;
816;Queen;Radio ga ga;;;;
815;Erwin de Vries;Op zuik;;;;
814;The Beatles;All you need is love;;;;
813;Crosby, Stills, Nash & Young;Teach your children;;;;
812;Guus Meeuwis;Dat komt door jou;;;;
811;Bob Dylan;Like a rolling stone;;;;
810;Burdy;Heurs doe de wiend;;;;
809;ABBA;Super trouper;;;;
808;Michael Jackson;Beat it;;;;
807;Blue Diamonds;Ramona;;;;
806;Eddy Koekkoek;Grunnens laid;;;;
805;Alex Luttjeboer;Zunne op de kop;;;;
